Trienio,Semestre,Curso,Min,Max,Media,N
2023-2025,1º,LÍNGUA E LITERATURA JAPONESA (LICENCIATURA),-83.555,-45.663,-62.93,3
2023-2025,1º,LÍNGUA ESPANHOLA E LITERATURA ESPANHOLA E HISPANO - AMERICANA (LICENCIATURA),-79.029,-60.693,-69.508,3
2023-2025,1º,LÍNGUA FRANCESA (BACHARELADO/LICENCIATURA),-87.339,-26.043,-52.361,6
2023-2025,1º,LÍNGUA INGLESA (BACHARELADO/LICENCIATURA),15.306,83.036,36.712,5
2023-2025,1º,LÍNGUA PORTUGUESA (BACHARELADO/LICENCIATURA),46.683,88.696,60.263,6
2023-2025,1º,LÍNGUA PORTUGUESA (LICENCIATURA),-56.955,23.041,-15.781,7
2023-2025,1º,LÍNGUAS ESTRANGEIRAS APLICADAS (BACHARELADO),-60.26,-0.938,-29.205,11
2023-2025,1º,MATEMÁTICA (BACHARELADO/LICENCIATURA),-20.737,105.88,44.416,14
2023-2025,1º,MATEMÁTICA (BACHARELADO/LICENCIATURA) – SUB JUDICE,40.442,40.442,40.442,1
2023-2025,1º,MATEMÁTICA (LICENCIATURA),-51.641,31.378,-15.259,7
2023-2025,1º,MEDICINA (BACHARELADO),166.75,190.334,173.929,9
2023-2025,1º,MEDICINA VETERINÁRIA (BACHARELADO),66.643,99.685,80.866,9
2023-2025,1º,MUSEOLOGIA (BACHARELADO),-79.405,19.145,-20.969,6
2023-2025,1º,MÚSICA (BACHARELADO)*,-2.409,65.653,31.622,2
2023-2025,1º,MÚSICA (LICENCIATURA)*,-15.971,132.273,48.549,4
2023-2025,1º,NUTRIÇÃO (BACHARELADO),70.097,99.32,84.562,7
2023-2025,1º,ODONTOLOGIA (BACHARELADO),91.436,127.254,111.576,6
2023-2025,1º,PEDAGOGIA (LICENCIATURA),-24.607,65.014,10.584,22
2023-2025,1º,PSICOLOGIA (BACHARELADO/LICENCIATURA/PSICÓLOGO),92.692,149.897,105.523,11
2023-2025,1º,QUÍMICA (BACHARELADO),5.562,107.231,47.596,9
2023-2025,1º,QUÍMICA (LICENCIATURA),-54.702,44.043,-1.839,4
2023-2025,1º,QUÍMICA TECNOLÓGICA (BACHARELADO),-30.086,126.278,26.45,7
2023-2025,1º,QUÍMICA TECNOLÓGICA (BACHARELADO) – SUB JUDICE,91.458,91.458,91.458,1
2023-2025,1º,RELAÇÕES INTERNACIONAIS (BACHARELADO),105.105,162.477,121.308,11
2023-2025,1º,SAÚDE COLETIVA (BACHARELADO),-73.062,9.485,-43.703,20
2023-2025,1º,SERVIÇO SOCIAL (BACHARELADO),-61.117,58.364,-17.56,18
2023-2025,1º,TEORIA CRÍTICA E HISTÓRIA DA ARTE (BACHARELADO),-22.04,8.621,-6.709,2
2023-2025,1º,TERAPIA OCUPACIONAL (BACHARELADO),2.706,46.76,14.439,11
2023-2025,1º,TURISMO (BACHARELADO),-62.252,51.489,-31.225,14
2022-2024,1º,(BACHARELADOS)**,51.901,126.005,75.465,97
2022-2024,1º,ADMINISTRAÇÃO (BACHARELADO),-38.595,89.957,11.549,60
2022-2024,1º,AGRONOMIA (BACHARELADO),-48.862,111.678,1.155,49
2022-2024,1º,ARQUITETURA E URBANISMO (BACHARELADO),16.573,125.153,71.638,23
2022-2024,1º,ARQUIVOLOGIA (BACHARELADO),-51.975,4.385,-30.898,10
2022-2024,1º,ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL (BACHARELADO),47.418,70.599,57.683,4
2022-2024,1º,ARTES VISUAIS (BACHARELADO),15.194,74.696,34.462,6
2022-2024,1º,ARTES VISUAIS (BACHARELADO)*,12.612,12.638,12.625,2
2022-2024,1º,BIBLIOTECONOMIA (BACHARELADO),-51.958,33.575,-10.668,12
2022-2024,1º,BIOTECNOLOGIA (BACHARELADO),30.328,113.585,64.477,19
2022-2024,1º,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),126.977,151.587,137.478,16
2022-2024,1º,CIÊNCIA POLÍTICA (BACHARELADO),28.82,85.436,46.636,19
2022-2024,1º,CIÊNCIAS AMBIENTAIS (BACHARELADO),-71.972,60.887,-6.211,8
2022-2024,1º,CIÊNCIAS BIOLÓGICAS (BACHARELADO),57.494,109.221,72.515,11
2022-2024,1º,CIÊNCIAS CONTÁBEIS (BACHARELADO),-61.448,119.586,9.195,47
2022-2024,1º,CIÊNCIAS ECONÔMICAS (BACHARELADO),77.597,145.766,95.724,12
2022-2024,1º,CIÊNCIAS ECONÔMICAS (BACHARELADO) – SUB JUDICE,113.023,113.023,113.023,1
2022-2024,1º,CIÊNCIAS NATURAIS (LICENCIATURA),-85.326,34.196,-34.098,12
2022-2024,1º,CIÊNCIAS SOCIAIS – ANTROPOLOGIA / SOCIOLOGIA (BACHARELADO/LICENCIATURA),-71.399,83.207,-4.288,46
2022-2024,1º,CIÊNCIAS SOCIAIS – ANTROPOLOGIA / SOCIOLOGIA (BACHARELADO/LICENCIATURA) – SUB JUDICE,14.041,14.041,14.041,1
2022-2024,1º,COMPUTAÇÃO (LICENCIATURA),-38.084,41.108,-11.069,24
2022-2024,1º,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),-17.417,61.044,17.442,18
2022-2024,1º,COMUNICAÇÃO SOCIAL – AUDIOVISUAL (BACHARELADO),59.587,82.143,68.534,6
2022-2024,1º,COMUNICAÇÃO SOCIAL – PUBLICIDADE E PROPAGANDA (BACHARELADO),65.284,96.261,84.184,6
2022-2024,1º,DESIGN – PROGRAMAÇÃO VISUAL/PROJETO DO PRODUTO (BACHARELADO),72.977,101.879,85.253,4
2022-2024,1º,DIREITO (BACHARELADO),84.527,196.085,123.655,39
2022-2024,1º,EDUCAÇÃO FÍSICA CICLO BÁSICO (BACHARELADO/LICENCIATURA),-13.455,59.683,8.782,29
2022-2024,1º,ENFERMAGEM (BACHARELADO),10.069,100.035,40.671,38
2022-2024,1º,ENGENHARIA AMBIENTAL (BACHARELADO),-59.99,74.607,8.425,16
2022-2024,1º,ENGENHARIA CIVIL (BACHARELADO),64.206,133.403,94.582,15
2022-2024,1º,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),117.303,148.865,129.891,10
2022-2024,1º,ENGENHARIA DE PRODUÇÃO (BACHARELADO),20.292,141.026,61.352,31
2022-2024,1º,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),5.876,78.371,39.396,21
2022-2024,1º,ENGENHARIA ELÉTRICA (BACHARELADO),9.882,199.246,77.534,23
2022-2024,1º,ENGENHARIA FLORESTAL (BACHARELADO),-75.402,37.86,-13.913,16
2022-2024,1º,ENGENHARIA MECATRÔNICA – CONTROLE E AUTOMAÇÃO (BACHARELADO),38.467,130.743,75.626,19
2022-2024,1º,ENGENHARIA MECÂNICA (BACHARELADO),29.195,152.292,67.563,25
2022-2024,1º,ENGENHARIA QUÍMICA (BACHARELADO),-2.839,132.643,47.08,30
2022-2024,1º,ESTATÍSTICA (BACHARELADO),5.611,102.218,51.974,24
2022-2024,1º,FARMÁCIA (BACHARELADO),-6.952,108.318,44.295,36
2022-2024,1º,FILOSOFIA (BACHARELADO/LICENCIATURA),-44.994,42.937,-4.265,13
2022-2024,1º,FILOSOFIA (LICENCIATURA),-40.435,-34.35,-37.392,2
2022-2024,1º,FISIOTERAPIA (BACHARELADO),21.525,66.742,40.485,19
2022-2024,1º,FONOAUDIOLOGIA (BACHARELADO),0.739,51.189,19.737,9
2022-2024,1º,FÍSICA (BACHARELADO),-66.596,163.906,38.758,23
2022-2024,1º,GEOFÍSICA (BACHARELADO),-42.883,41.236,5.993,4
2022-2024,1º,GEOGRAFIA (BACHARELADO/LICENCIATURA),-81.814,30.578,-34.359,10
2022-2024,1º,GEOLOGIA (BACHARELADO),-61.349,71.897,-1.126,9
2022-2024,1º,GESTÃO AMBIENTAL (BACHARELADO),-39.971,-39.971,-39.971,1
2022-2024,1º,GESTÃO DE AGRONEGÓCIO (BACHARELADO),-85.768,-32.886,-58.409,3
2022-2024,1º,GESTÃO DE POLÍTICAS PÚBLICAS (BACHARELADO),-67.945,36.637,-25.062,23
2022-2024,1º,GESTÃO DO AGRONEGÓCIO (BACHARELADO),-76.2,-6.311,-41.661,5
2022-2024,1º,HISTÓRIA (BACHARELADO/LICENCIATURA),26.142,140.922,53.409,13
2022-2024,1º,HISTÓRIA (LICENCIATURA),-48.927,51.751,-11.442,17
2022-2024,1º,JORNALISMO (BACHARELADO),81.921,108.42,95.052,3
2022-2024,1º,LETRAS – PORTUGUÊS DO BRASIL COMO SEGUNDA LÍNGUA (LICENCIATURA),-78.663,14.479,-40.378,15
2022-2024,1º,LETRAS – TRADUÇÃO – INGLÊS (BACHARELADO),-13.463,89.789,37.639,5
2022-2024,1º,LICENCIATURA EM ARTES CÊNICAS,-71.458,51.082,-29.502,6
2022-2024,1º,LICENCIATURA EM CIÊNCIAS BIOLÓGICAS,-71.592,67.748,-6.904,16
2022-2024,1º,LICENCIATURA EM FÍSICA,-18.748,64.091,21.174,5
2022-2024,1º,LICENCIATURA EM MATEMÁTICA,-27.51,-25.265,-26.388,2
2022-2024,1º,LICENCIATURA EM QUÍMICA,-20.381,11.669,-4.665,3
2022-2024,1º,LÍNGUA ESPANHOLA E LITERATURA ESPANHOLA E HISPANO-AMERICANA (LICENCIATURA),-58.017,72.187,-13.073,3
2022-2024,1º,LÍNGUA ESTRANGEIRA APLICADA – MULTILINGUISMO E SOCIEDADE DA INFORMAÇÃO (BACHARELADO),-78.889,50.122,-17.494,11
2022-2024,1º,LÍNGUA FRANCESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),-57.237,58.68,0.721,2
2022-2024,1º,LÍNGUA INGLESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),12.131,53.836,26.722,4
2022-2024,1º,LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),-4.089,70.605,28.542,11
2022-2024,1º,LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (LICENCIATURA),-48.148,-20.068,-32.864,5
2022-2024,1º,MATEMÁTICA (BACHARELADO/LICENCIATURA),17.719,98.631,47.648,12
2022-2024,1º,MEDICINA (BACHARELADO),174.435,185.491,178.092,10
2022-2024,1º,MEDICINA VETERINÁRIA (BACHARELADO),66.363,91.945,79.812,13
2022-2024,1º,MUSEOLOGIA (BACHARELADO),-61.582,-45.25,-53.416,2
2022-2024,1º,MÚSICA (LICENCIATURA)*,-21.906,78.393,17.538,3
2022-2024,1º,NUTRIÇÃO (BACHARELADO),58.199,78.849,66.538,11
2022-2024,1º,ODONTOLOGIA (BACHARELADO),72.814,94.658,79.576,8
2022-2024,1º,PEDAGOGIA (LICENCIATURA),-90.365,59.509,-8.107,37
2022-2024,1º,PSICOLOGIA (BACHARELADO / LICENCIATURA / PSICÓLOGO),94.728,143.243,109.514,15
2022-2024,1º,QUÍMICA (BACHARELADO),33.936,108.254,60.972,8
2022-2024,1º,QUÍMICA TECNOLÓGICA (BACHARELADO),-69.808,35.421,-29.602,6
2022-2024,1º,RELAÇÕES INTERNACIONAIS (BACHARELADO),81.547,136.622,96.814,12
2022-2024,1º,SAÚDE COLETIVA (BACHARELADO),-90.959,3.222,-47.895,14
2022-2024,1º,SERVIÇO SOCIAL (BACHARELADO),-48.961,19.794,-17.211,17
2022-2024,1º,"TEORIA, CRÍTICA E HISTÓRIA DA ARTE (BACHARELADO)",-66.561,22.399,-21.639,6
2022-2024,1º,TERAPIA OCUPACIONAL (BACHARELADO),-9.814,29.962,8.757,10
2022-2024,1º,TURISMO (BACHARELADO),-113.422,10.951,-52.988,5
2022-2024,2º,(BACHARELADOS)**,-2.835,50.424,22.944,165
2022-2024,2º,(BACHARELADOS)** – SUB JUDICE,15.82,31.59,23.705,2
2022-2024,2º,ADMINISTRAÇÃO (BACHARELADO),-86.767,12.807,-23.833,48
2022-2024,2º,AGRONOMIA (BACHARELADO),-95.148,73.077,-62.998,24
2022-2024,2º,ARQUITETURA E URBANISMO (BACHARELADO),-12.019,77.537,33.678,26
2022-2024,2º,ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL (BACHARELADO),24.18,29.223,26.967,3
2022-2024,2º,ARTES VISUAIS (BACHARELADO),-49.153,9.382,-20.489,21
2022-2024,2º,ARTES VISUAIS (LICENCIATURA),-78.146,70.753,-9.019,13
2022-2024,2º,BIOTECNOLOGIA (BACHARELADO),-77.641,58.662,-17.383,28
2022-2024,2º,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),97.634,126.56,110.371,18
2022-2024,2º,CIÊNCIA POLÍTICA (BACHARELADO),-3.609,27.872,9.954,28
2022-2024,2º,CIÊNCIAS BIOLÓGICAS (BACHARELADO),45.298,55.263,49.81,10
2022-2024,2º,CIÊNCIAS CONTÁBEIS (BACHARELADO),-102.261,49.671,-42.207,27
2022-2024,2º,CIÊNCIAS ECONÔMICAS (BACHARELADO),39.718,75.802,59.47,23
2022-2024,2º,COMPUTAÇÃO (LICENCIATURA),-105.03,-44.569,-63.213,11
2022-2024,2º,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),-98.302,-18.384,-46.982,8
2022-2024,2º,COMUNICAÇÃO SOCIAL – AUDIOVISUAL (BACHARELADO),29.267,57.784,37.9,5
2022-2024,2º,COMUNICAÇÃO SOCIAL – PUBLICIDADE E PROPAGANDA (BACHARELADO),31.405,48.42,39.771,9
2022-2024,2º,DESIGN – PROGRAMAÇÃO VISUAL/PROJETO DO PRODUTO (BACHARELADO),39.507,69.182,52.468,8
2022-2024,2º,DIREITO (BACHARELADO),74.722,117.929,97.241,30
2022-2024,2º,EDUCAÇÃO FÍSICA CICLO BÁSICO (BACHARELADO/LICENCIATURA),-45.535,46.02,-27.432,50
2022-2024,2º,ENFERMAGEM (BACHARELADO),-6.622,33.032,10.285,40
2022-2024,2º,ENGENHARIA CIVIL (BACHARELADO),-8.597,63.663,32.63,30
2022-2024,2º,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),84.476,115.572,101.009,17
2022-2024,2º,ENGENHARIA DE PRODUÇÃO (BACHARELADO),-66.153,37.897,-13.889,14
2022-2024,2º,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),-61.976,7.755,-24.624,21
2022-2024,2º,ENGENHARIA ELÉTRICA (BACHARELADO),-52.004,47.542,-22.886,8
2022-2024,2º,ENGENHARIA MECATRÔNICA – CONTROLE E AUTOMAÇÃO (BACHARELADO),-53.525,37.891,0.676,26
2022-2024,2º,ENGENHARIA MECÂNICA (BACHARELADO),-105.128,31.098,-20.78,26
2022-2024,2º,ENGENHARIA QUÍMICA (BACHARELADO),-31.736,7.947,-20.061,5
2022-2024,2º,ESTATÍSTICA (BACHARELADO),-86.083,-0.406,-27.472,7
2022-2024,2º,FARMÁCIA (BACHARELADO),-79.778,42.986,-4.961,62
2022-2024,2º,FISIOTERAPIA (BACHARELADO),-3.235,16.934,7.541,16
2022-2024,2º,FONOAUDIOLOGIA (BACHARELADO),-39.262,27.97,-14.429,21
2022-2024,2º,HISTÓRIA (BACHARELADO/LICENCIATURA),-39.676,17.254,-9.882,21
2022-2024,2º,JORNALISMO (BACHARELADO),61.389,78.377,69.064,5
2022-2024,2º,LETRAS – TRADUÇÃO – INGLÊS (BACHARELADO),-63.287,-20.242,-38.098,12
2022-2024,2º,LÍNGUA INGLESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),-16.187,25.042,-3.771,7
2022-2024,2º,LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),-45.165,-4.114,-27.744,15
2022-2024,2º,MATEMÁTICA (BACHARELADO/LICENCIATURA),-65.029,17.561,-28.201,13
2022-2024,2º,MEDICINA (BACHARELADO),161.143,173.057,164.198,14
2022-2024,2º,MEDICINA VETERINÁRIA (BACHARELADO),38.121,63.333,52.747,14
2022-2024,2º,NUTRIÇÃO (BACHARELADO),21.939,56.753,38.296,18
2022-2024,2º,ODONTOLOGIA (BACHARELADO),47.89,71.127,59.22,8
2022-2024,2º,PEDAGOGIA (LICENCIATURA),-93.951,63.94,-46.585,35
2022-2024,2º,PSICOLOGIA (BACHARELADO / LICENCIATURA / PSICÓLOGO),73.199,93.909,82.1,12
2022-2024,2º,QUÍMICA (BACHARELADO),-87.245,32.131,-15.696,30
2022-2024,2º,RELAÇÕES INTERNACIONAIS (BACHARELADO),66.8,80.765,73.525,13
2022-2024,2º,RELAÇÕES INTERNACIONAIS (BACHARELADO) – SUB JUDICE,67.194,67.194,67.194,1
2022-2024,2º,TERAPIA OCUPACIONAL (BACHARELADO),-59.686,-12.674,-38.495,25
2021-2023,1º,(BACHARELADO) - DARCY RIBEIRO (DIURNO),-47.775,48.385,16.708,10
2021-2023,1º,(BACHARELADOS)** - DARCY RIBEIRO (NOTURNO),52.524,144.063,81.948,95
2021-2023,1º,ADMINISTRAÇÃO (BACHARELADO) - DARCY RIBEIRO (DIURNO),26.201,94.873,57.324,19
2021-2023,1º,ADMINISTRAÇÃO (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-27.681,52.003,-2.527,25
2021-2023,1º,AGRONOMIA (BACHARELADO) - DARCY RIBEIRO (DIURNO),-20.694,85.304,16.967,25
2021-2023,1º,ARQUITETURA E URBANISMO (BACHARELADO) - DARCY RIBEIRO (DIURNO),83.25,125.136,101.308,12
2021-2023,1º,ARQUITETURA E URBANISMO (BACHARELADO) - DARCY RIBEIRO (NOTURNO),59.498,87.641,71.671,7
2021-2023,1º,ARQUIVOLOGIA (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-55.63,-13.001,-36.353,7
2021-2023,1º,ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL (BACHARELADO) - DARCY RIBEIRO (DIURNO),4.851,24.387,14.018,4
2021-2023,1º,ARTES VISUAIS (BACHARELADO)* - DARCY RIBEIRO (DIURNO),-17.763,47.739,15.44,13
2021-2023,1º,BIBLIOTECONOMIA (BACHARELADO) - DARCY RIBEIRO (DIURNO),-99.731,28.164,-38.979,14
2021-2023,1º,BIOTECNOLOGIA (BACHARELADO) - DARCY RIBEIRO (DIURNO),60.904,132.613,93.36,13
2021-2023,1º,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO) - DARCY RIBEIRO (DIURNO),142.133,188.751,154.967,15
2021-2023,1º,CIÊNCIA POLÍTICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),47.383,76.944,58.972,12
2021-2023,1º,CIÊNCIAS AMBIENTAIS (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-51.442,9.203,-35.451,6
2021-2023,1º,CIÊNCIAS BIOLÓGICAS (BACHARELADO) - DARCY RIBEIRO (DIURNO),79.249,139.272,102.205,13
2021-2023,1º,CIÊNCIAS CONTÁBEIS (BACHARELADO) - DARCY RIBEIRO (DIURNO),-3.138,74.209,22.593,27
2021-2023,1º,CIÊNCIAS CONTÁBEIS (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-69.227,45.134,-23.407,10
2021-2023,1º,CIÊNCIAS ECONÔMICAS (BACHARELADO) - DARCY RIBEIRO (DIURNO),88.437,150.5,106.813,18
2021-2023,1º,CIÊNCIAS NATURAIS (LICENCIATURA) - UNB PLANALTINA (FUP),-85.11,9.258,-37.733,8
2021-2023,1º,CIÊNCIAS SOCIAIS - ANTROPOLOGIA / SOCIOLOGIA (BACHARELADO/LICENCIATURA) - DARCY RIBEIRO (DIURNO),-19.3,73.106,11.992,34
2021-2023,1º,COMPUTAÇÃO (LICENCIATURA) - DARCY RIBEIRO (NOTURNO),-42.998,71.725,6.445,22
2021-2023,1º,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-77.466,57.848,-6.009,20
2021-2023,1º,COMUNICAÇÃO SOCIAL - AUDIOVISUAL (BACHARELADO) - DARCY RIBEIRO (DIURNO),56.245,103.109,71.22,6
2021-2023,1º,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA (BACHARELADO) - DARCY RIBEIRO (DIURNO),67.927,79.509,72.216,5
2021-2023,1º,DESIGN - PROGRAMAÇÃO VISUAL/PROJETO DO PRODUTO (BACHARELADO) - DARCY RIBEIRO (DIURNO),57.384,107.697,81.682,6
2021-2023,1º,DIREITO (BACHARELADO) - DARCY RIBEIRO (DIURNO),116.335,173.239,138.434,18
2021-2023,1º,DIREITO (BACHARELADO) - DARCY RIBEIRO (NOTURNO),100.214,131.453,113.129,15
2021-2023,1º,EDUCAÇÃO FÍSICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),15.322,78.06,33.713,12
2021-2023,1º,EDUCAÇÃO FÍSICA (LICENCIATURA) - DARCY RIBEIRO (DIURNO),-23.616,39.102,0.325,15
2021-2023,1º,ENFERMAGEM (BACHARELADO) - DARCY RIBEIRO (DIURNO),46.302,128.899,70.423,15
2021-2023,1º,ENFERMAGEM (BACHARELADO) - DARCY RIBEIRO (NOTURNO),36.848,65.958,47.629,12
2021-2023,1º,ENGENHARIA AMBIENTAL (BACHARELADO) - DARCY RIBEIRO (DIURNO),-20.516,67.115,24.143,21
2021-2023,1º,ENGENHARIA CIVIL (BACHARELADO) - DARCY RIBEIRO (DIURNO),56.995,120.301,73.143,15
2021-2023,1º,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO) - DARCY RIBEIRO (DIURNO),112.925,156.459,126.039,12
2021-2023,1º,ENGENHARIA DE PRODUÇÃO (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-75.749,104.096,29.638,22
2021-2023,1º,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO) - DARCY RIBEIRO (DIURNO),11.369,61.652,28.636,13
2021-2023,1º,ENGENHARIA ELÉTRICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),82.499,156.3,117.232,17
